sample_id,correct_control,correct_candidate,experiment,transition
train_0088,False,True,L16-F1,wrong_to_right
train_0089,False,False,L16-F1,unchanged
train_0092,True,True,L16-F1,unchanged
train_0093,False,False,L16-F1,unchanged
train_0098,True,True,L16-F1,unchanged
train_0099,False,False,L16-F1,unchanged
train_0104,False,False,L16-F1,unchanged
train_0105,False,False,L16-F1,unchanged
train_0106,True,True,L16-F1,unchanged
train_0107,True,True,L16-F1,unchanged
train_0115,False,False,L16-F1,unchanged
train_0116,True,True,L16-F1,unchanged
train_0117,True,True,L16-F1,unchanged
train_0118,True,True,L16-F1,unchanged
train_0119,True,True,L16-F1,unchanged
train_0120,True,True,L16-F1,unchanged
train_0121,True,True,L16-F1,unchanged
train_0134,False,False,L16-F1,unchanged
train_0135,True,True,L16-F1,unchanged
train_0136,False,False,L16-F1,unchanged
train_0137,True,True,L16-F1,unchanged
train_0138,False,False,L16-F1,unchanged
train_0141,True,True,L16-F1,unchanged
train_0142,True,True,L16-F1,unchanged
train_0157,False,False,L16-F1,unchanged
train_0158,False,False,L16-F1,unchanged
train_0159,False,False,L16-F1,unchanged
train_0162,False,True,L16-F1,wrong_to_right
train_0163,True,True,L16-F1,unchanged
train_0164,False,True,L16-F1,wrong_to_right
train_0166,False,False,L16-F1,unchanged
train_0167,False,False,L16-F1,unchanged
train_0168,True,True,L16-F1,unchanged
train_0182,True,False,L16-F1,right_to_wrong
train_0183,False,False,L16-F1,unchanged
train_0184,False,True,L16-F1,wrong_to_right
train_0185,False,False,L16-F1,unchanged
train_0186,True,True,L16-F1,unchanged
train_0191,False,False,L16-F1,unchanged
train_0192,True,True,L16-F1,unchanged
train_0193,True,True,L16-F1,unchanged
train_0199,False,True,L16-F1,wrong_to_right
train_0200,True,True,L16-F1,unchanged
train_0228,True,True,L16-F1,unchanged
train_0229,False,False,L16-F1,unchanged
train_0236,False,False,L16-F1,unchanged
train_0237,False,False,L16-F1,unchanged
train_0240,False,False,L16-F1,unchanged
train_0241,True,True,L16-F1,unchanged
train_0246,False,False,L16-F1,unchanged
train_0247,True,True,L16-F1,unchanged
train_0268,True,True,L16-F1,unchanged
train_0269,False,False,L16-F1,unchanged
train_0272,False,False,L16-F1,unchanged
train_0273,True,True,L16-F1,unchanged
train_0274,False,False,L16-F1,unchanged
train_0275,False,False,L16-F1,unchanged
train_0276,False,False,L16-F1,unchanged
train_0277,True,True,L16-F1,unchanged
